"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"admin";"menu_stat_tab";"menu_stat_id";"integer";null;"NO";"nextval('admin.menu_stat_tab_menu_stat_id_seq'::regclass)";"Статистика вызова меню. Для чистки в будущем неиспользуемых пунктов меню"
"admin";"menu_stat_tab";"menu_id";"integer";null;"YES";"null";"null"
"admin";"menu_stat_tab";"employee_id";"integer";null;"YES";"null";"null"
"admin";"menu_stat_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"menu_tab";"menu_id";"integer";null;"NO";"nextval(('admin.menu_tab_menu_id_seq'::text)::regclass)";"Идентификатор меню"
"admin";"menu_tab";"menu_pid";"integer";null;"YES";"null";"Идентификатор родителя"
"admin";"menu_tab";"menu_name";"character varying";250;"NO";"null";"Наименование меню"
"admin";"menu_tab";"order_num";"integer";null;"NO";"null";"Порядковый номер в списке"
"admin";"menu_tab";"menu_action";"character varying";250;"YES";"null";"Action меню(ссылка)"
"admin";"menu_tab";"is_active";"integer";null;"NO";"1";"Признак активности. 0 - не активный, 1 - активный. По умолчанию 1"
"admin";"menu_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"menu_tab";"icon";"character varying";50;"NO";"'fa-caret-right'::character varying";"Класс иконки"
"admin";"menu_tab";"field1";"character varying";50;"YES";"null";"Доп.поле на всякий случай"
"admin";"menu_tab";"what";"character varying";100;"YES";"null";"null"
"admin";"menu_tab";"is_partner";"boolean";null;"NO";"false";"Признак для меню приложения партнеров"
"admin";"menu_tab";"module_id";"integer";null;"NO";"1";"null"
"admin";"menu_tab";"menu_code";"character varying";256;"YES";"null";"null"
"admin";"module_tab";"module_id";"integer";null;"NO";"nextval('admin.module_tab_module_id_seq'::regclass)";"Подсистемы SR"
"admin";"module_tab";"module_name";"character varying";100;"YES";"null";"null"
"admin";"module_tab";"module_code";"character varying";40;"YES";"null";"null"
"admin";"position_tab";"position_id";"integer";null;"NO";"null";"null"
"admin";"position_tab";"position_name";"character varying";50;"NO";"null";"null"
"admin";"position_tab";"position_code";"character varying";20;"NO";"null";"null"
"admin";"position_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"position_tab";"menu_id";"integer";null;"YES";"null";"Страница по умолчанию"
"admin";"position_tab";"is_camunda";"integer";null;"NO";"0";"Должности которые исползуются в камунде"
"admin";"position_tab";"is_sale_point";"integer";null;"NO";"0";"Для ОП"
"admin";"position_tab";"module_id";"integer";null;"YES";"null";"null"
"admin";"position_tab";"is_smart";"boolean";null;"NO";"false";"null"
"admin";"position_tab";"is_active";"boolean";null;"NO";"true";"null"
"admin";"position_tab";"is_exist_contractor_main";"boolean";null;"NO";"false";"null"
"admin";"report_audit";"report_audit_id";"integer";null;"NO";"nextval('admin.report_audit_report_audit_id_seq'::regclass)";"null"
"admin";"report_audit";"report_id";"integer";null;"NO";"null";"null"
"admin";"report_audit";"employee_id";"integer";null;"NO";"null";"null"
"admin";"report_audit";"action";"character varying";1;"NO";"null";"null"
"admin";"report_audit";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"request_mobile_tab";"request_mobile_id";"integer";null;"NO";"null";"null"
"admin";"request_mobile_tab";"request_mobile_type_id";"integer";null;"NO";"null";"null"
